City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Carmen,MX,18.6333,-91.8333,81.59,71,37,10.56,scattered clouds
172,Talakan,RU,50.3167,130.3667,58.15,58,97,8.05,overcast clouds
173,Lotoshino,RU,56.2267,35.6414,45.93,94,0,7.49,clear sky
174,Lodwar,KE,3.1191,35.5973,80.11,49,56,18.45,broken clouds
175,Kipini,KE,-2.5257,40.5262,79.09,82,13,19.08,light rain
176,Katangli,RU,51.7102,143.2326,46.6,74,43,11.12,scattered clouds
177,Bengkulu,ID,-3.8004,102.2655,75.22,84,56,4.07,broken clouds
178,Biltine,TD,14.5333,20.9167,89.37,21,97,2.86,overcast clouds
179,Hamilton,US,39.1834,-84.5333,78.24,42,0,8.05,clear sky
180,Hasanabad,IR,36.5465,61.0543,72.79,21,1,6.67,clear sky
181,Plouzane,FR,48.3833,-4.6167,59.05,94,100,8.05,mist
182,Port Blair,IN,11.6667,92.75,82.08,78,98,13.06,overcast clouds
183,Port Alfred,ZA,-33.5906,26.891,63.28,35,23,8.57,few clouds
184,Matadi,CD,-5.8167,13.45,73.33,85,17,2.86,few clouds
185,Lompoc,US,34.6391,-120.4579,72.79,87,100,13.8,mist
186,Hualmay,PE,-11.0964,-77.6139,64.85,83,83,6.8,broken clouds
187,Aykhal,RU,66.0,111.5,53.01,74,100,10.27,overcast clouds
188,Agadez,NE,19.75,10.25,84.61,10,0,8.12,clear sky
189,Khudumelapye,BW,-23.8833,24.75,51.24,50,0,6.13,clear sky
190,Kpandu,GH,6.9954,0.2931,76.26,87,69,7.56,broken clouds
191,Arukutti,IN,9.8667,76.35,75.18,90,99,5.5,overcast clouds
192,Prochnookopskaya,RU,45.0666,41.1175,63.52,76,79,6.08,broken clouds
193,Sobolevo,RU,54.4299,31.8996,47.03,91,11,5.41,few clouds
194,Bambanglipuro,ID,-7.95,110.2833,76.55,85,97,2.86,overcast clouds
195,Batemans Bay,AU,-35.7167,150.1833,51.1,63,3,5.41,clear sky
196,Komsomolskiy,UZ,40.4272,71.7189,68.72,45,40,2.3,scattered clouds
197,Zhigansk,RU,66.7697,123.3711,61.68,61,50,19.48,scattered clouds
198,Walvis Bay,NA,-22.9575,14.5053,70.75,24,64,12.66,broken clouds
199,Samarai,PG,-10.6167,150.6667,81.9,83,100,15.82,light rain
200,Georgetown,MY,5.4112,100.3354,76.98,94,40,8.05,thunderstorm with rain
201,Codrington,AU,-38.2667,141.9667,50.95,88,71,11.92,broken clouds
202,Gimli,CA,50.6336,-96.9907,62.62,23,20,12.66,few clouds
203,Potsdam,DE,52.3989,13.0657,65.08,68,100,1.01,overcast clouds
204,Yulara,AU,-25.2406,130.9889,53.78,56,0,6.44,clear sky
205,Rio Gallegos,AR,-51.6226,-69.2181,37.45,56,0,16.11,clear sky
206,Longyearbyen,SJ,78.2186,15.6401,49.84,57,75,6.91,broken clouds
207,Ponta Do Sol,PT,32.6667,-17.1,65.03,71,37,4.85,scattered clouds
208,Namatanai,PG,-3.6667,152.4333,82.87,73,55,7.47,light rain
209,Nouadhibou,MR,20.931,-17.0347,71.58,68,100,24.16,overcast clouds
210,Olafsvik,IS,64.8945,-23.7142,41.92,71,95,12.75,overcast clouds
211,Porbandar,IN,21.6422,69.6093,81.32,80,16,13.6,few clouds
212,Saskylakh,RU,71.9167,114.0833,39.97,97,100,6.85,overcast clouds
213,Gudari,IN,19.35,83.7833,80.37,87,99,2.55,overcast clouds
214,Wilmington,US,34.2257,-77.9447,78.85,89,100,10.36,light rain
215,Lagoa,PT,39.05,-27.9833,63.88,90,100,9.95,overcast clouds
216,Bethanien,NA,-26.502,17.1583,53.82,29,0,5.23,clear sky
217,Taoudenni,ML,22.6783,-3.9836,97.36,11,77,10.89,broken clouds
218,Edd,ER,13.9297,41.6925,84.43,72,17,8.28,few clouds
219,Alofi,NU,-19.0595,-169.9187,80.49,78,13,16.11,few clouds
220,Marana,US,32.4367,-111.2254,103.05,7,0,16.11,clear sky
221,Kholm,RU,59.2667,32.85,49.37,96,94,6.96,overcast clouds
222,Padang,ID,-0.9492,100.3543,77.68,76,81,3.22,broken clouds
223,Karatuzskoye,RU,53.6072,92.8667,50.27,81,100,5.77,overcast clouds
224,Paamiut,GL,61.994,-49.6678,39.63,61,10,4.52,clear sky
225,Bayburt,TR,40.2589,40.2278,58.44,60,10,6.06,clear sky
226,Muros,ES,42.7762,-9.0603,62.1,92,75,6.76,moderate rain
227,Boshnyakovo,RU,49.6333,142.1667,47.5,66,96,3.4,overcast clouds
228,Havelock,US,34.8791,-76.9013,76.98,93,93,4.0,heavy intensity rain
229,Srednekolymsk,RU,67.45,153.6833,43.83,52,100,11.5,light rain
230,Thompson,CA,55.7435,-97.8558,41.16,93,100,12.66,overcast clouds
231,Tashtagol,RU,52.7657,87.8894,46.0,91,100,1.81,light rain
232,Baghdad,IQ,33.3406,44.4009,85.91,20,0,3.44,clear sky
233,Dehloran,IR,32.6941,47.2679,95.79,7,27,9.28,scattered clouds
234,Belousovka,KZ,50.1339,82.5239,61.65,39,75,6.71,broken clouds
235,Idrinskoye,RU,54.3708,92.1358,42.15,95,100,5.08,light rain
236,Inongo,CD,-1.95,18.2667,69.46,91,62,1.16,broken clouds
237,Qaqortoq,GL,60.7167,-46.0333,46.47,51,0,1.05,clear sky
238,Taltal,CL,-25.4,-70.4833,61.81,53,34,3.89,scattered clouds
239,Yuli,NG,9.6989,10.2744,81.41,56,89,6.78,overcast clouds
240,Port Hardy,CA,50.6996,-127.4199,55.58,94,75,10.36,broken clouds
241,Alta Floresta,BR,-9.8756,-56.0861,78.62,83,20,1.14,few clouds
242,San Patricio,US,28.017,-97.5169,89.55,51,70,7.47,broken clouds
243,Caravelas,BR,-17.7125,-39.2481,74.16,87,36,6.8,scattered clouds
244,Fortuna,US,40.5982,-124.1573,60.66,71,20,0.0,few clouds
245,Kavieng,PG,-2.5744,150.7967,83.71,67,32,11.74,scattered clouds
246,Tarakan,ID,3.3,117.6333,80.1,94,75,6.91,broken clouds
247,Khash,IR,28.2211,61.2158,67.14,20,0,5.12,clear sky
248,Tiznit,MA,29.5833,-9.5,58.55,85,19,3.87,few clouds
249,Ipswich,GB,52.0592,1.1555,56.05,80,77,3.0,broken clouds
250,Vila,PT,42.0304,-8.1588,49.69,91,65,2.91,broken clouds
