City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Fort Nelson,CA,2022-05-31 16:56:07,58.8053,-122.7002,56.79,51,20,3.44
165,Mahebourg,MU,2022-05-31 16:56:08,-20.4081,57.7,74.25,64,75,11.5
166,Namibe,AO,2022-05-31 16:56:08,-15.1961,12.1522,73.04,64,0,3.33
167,Pontianak,ID,2022-05-31 16:56:08,-0.0333,109.3333,78.78,94,20,0.0
168,Parnamirim,BR,2022-05-31 16:51:29,-5.9156,-35.2628,85.89,74,75,10.36
169,Padang,ID,2022-05-31 16:56:09,-0.9492,100.3543,75.25,86,80,2.15
170,Kaka,TM,2022-05-31 16:56:09,37.3482,59.6143,82.02,19,0,2.98
171,Hofn,IS,2022-05-31 16:56:10,64.2539,-15.2082,47.07,86,100,4.94
172,Kanker,IN,2022-05-31 16:56:10,20.2719,81.4931,89.17,28,99,4.14
173,San Cristobal,VE,2022-05-31 16:56:10,7.7669,-72.225,80.78,43,100,5.93
174,Kavaratti,IN,2022-05-31 16:56:11,10.5669,72.642,83.44,72,100,16.49
175,Severo-Yeniseyskiy,RU,2022-05-31 16:56:11,60.3725,93.0408,38.17,88,20,4.7
176,Mayor Pablo Lagerenza,PY,2022-05-31 16:56:11,-19.9309,-60.7718,57.15,77,100,5.95
177,Geraldton,AU,2022-05-31 16:56:12,-28.7667,114.6,46.81,81,13,1.14
178,Camapua,BR,2022-05-31 16:56:12,-19.5314,-54.0439,85.12,48,100,5.64
179,Huntsville,US,2022-05-31 16:56:12,34.7304,-86.5861,87.89,59,0,4.61
180,Wanning,CN,2022-05-31 16:56:13,18.8003,110.3967,80.51,92,85,6.87
181,East London,ZA,2022-05-31 16:56:13,-33.0153,27.9116,59.94,51,0,8.05
182,Nizwa,OM,2022-05-31 16:56:13,22.9333,57.5333,89.44,11,0,3.87
183,Xining,CN,2022-05-31 16:56:14,36.6167,101.7667,54.48,54,76,3.47
184,Tasiilaq,GL,2022-05-31 16:56:14,65.6145,-37.6368,38.84,91,100,3.44
185,Lata,PT,2022-05-31 16:56:14,40.1629,-8.3327,69.24,75,100,5.57
186,Marawi,PH,2022-05-31 16:56:15,7.9986,124.2928,69.39,86,59,4.07
187,Uarini,BR,2022-05-31 16:56:15,-2.99,-65.1083,85.12,67,90,3.18
188,Zaysan,KZ,2022-05-31 16:57:15,47.4667,84.8667,62.64,62,100,10.67
189,Taoudenni,ML,2022-05-31 16:57:16,22.6783,-3.9836,108.81,5,2,13.71
190,Tombouctou,ML,2022-05-31 16:57:16,20.0,-3.0,109.47,8,44,15.01
191,Thompson,CA,2022-05-31 16:57:17,55.7435,-97.8558,37.56,81,100,16.11
192,Asyut,EG,2022-05-31 16:57:17,27.181,31.1837,98.78,14,0,14.29
