City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Tanout,NE,84.99,few clouds,14.9709,8.8879,
113,Arraial Do Cabo,BR,70.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
114,Cravo Norte,CO,72.5,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
116,Casper,US,73.72,clear sky,42.8666,-106.3131,Ramkota Hotel
118,Kapaa,US,82.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Youkounkoun,GN,80.53,broken clouds,12.5333,-13.1333,
126,Dingle,PH,83.08,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
128,Tucurui,BR,73.62,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
129,Panaba,MX,80.37,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
130,Mahibadhoo,MV,82.65,overcast clouds,3.7833,72.9667,Omadhoo Inn
131,Safaga,EG,85.12,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
132,Nanakuli,US,83.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
133,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
135,Amahai,ID,81.93,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
136,Nador,MA,71.85,clear sky,35.174,-2.9287,Hôtel La Giralda
140,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
143,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
144,Pancol,PH,82.98,clear sky,10.8715,119.4157,
148,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
151,Grants,US,82.63,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
152,Ixtapa,MX,78.22,clear sky,20.7,-105.2,hotel la terminal
153,Tautira,PF,76.26,light rain,-17.7333,-149.15,Pension Oaoa
154,Daru,PG,81.3,overcast clouds,-9.0763,143.2092,Daru Lodge
155,Fare,PF,79.52,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
156,Avera,US,83.71,broken clouds,33.194,-82.5271,
157,Ganzhou,CN,76.62,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
159,Dicabisagan,PH,84.43,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
160,Grand Gaube,MU,73.8,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
161,Bandar,ID,73.45,overcast clouds,2.05,99.75,
164,Carauari,BR,74.57,overcast clouds,-4.8828,-66.8958,Hotel Fellip
165,Flagstaff,US,78.46,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
166,Kashi,CN,69.01,few clouds,39.4547,75.9797,帕米尔青年旅舍
171,Carmen,MX,81.59,scattered clouds,18.6333,-91.8333,Hotel Lossandes
174,Lodwar,KE,80.11,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
175,Kipini,KE,79.09,light rain,-2.5257,40.5262,Delta Sea Mall
177,Bengkulu,ID,75.22,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
178,Biltine,TD,89.37,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
179,Hamilton,US,78.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
180,Hasanabad,IR,72.79,clear sky,36.5465,61.0543,
182,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Matadi,CD,73.33,few clouds,-5.8167,13.45,Hotel Vivi Palace
185,Lompoc,US,72.79,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
188,Agadez,NE,84.61,clear sky,19.75,10.25,
190,Kpandu,GH,76.26,broken clouds,6.9954,0.2931,Emo House
191,Arukutti,IN,75.18,overcast clouds,9.8667,76.35,Ramada Resort by Wyndham Kochi
194,Bambanglipuro,ID,76.55,overcast clouds,-7.95,110.2833,Puri Brata
199,Samarai,PG,81.9,light rain,-10.6167,150.6667,Nuli Sapi
200,Georgetown,MY,76.98,thunderstorm with rain,5.4112,100.3354,Cititel Penang
208,Namatanai,PG,82.87,light rain,-3.6667,152.4333,Seagulls Inn Namatani
209,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
211,Porbandar,IN,81.32,few clouds,21.6422,69.6093,Lords Inn Porbandar
213,Gudari,IN,80.37,overcast clouds,19.35,83.7833,Hotel maa majhigouri
214,Wilmington,US,78.85,light rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
218,Edd,ER,84.43,few clouds,13.9297,41.6925,
219,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
222,Padang,ID,77.68,broken clouds,-0.9492,100.3543,Mercure Padang
228,Havelock,US,76.98,heavy intensity rain,34.8791,-76.9013,Sherwood Motel
232,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
233,Dehloran,IR,95.79,scattered clouds,32.6941,47.2679,کافه گیم استورم
236,Inongo,CD,69.46,broken clouds,-1.95,18.2667,Hotel Du Lac
239,Yuli,NG,81.41,overcast clouds,9.6989,10.2744,
241,Alta Floresta,BR,78.62,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
242,San Patricio,US,89.55,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
243,Caravelas,BR,74.16,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
245,Kavieng,PG,83.71,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
246,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
253,Moerai,PF,74.03,overcast clouds,-22.4333,-151.3333,Le Manotel
257,Sur,OM,85.55,few clouds,22.5667,59.5289,Sur Plaza Hotel
258,Bani,DO,85.44,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
259,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
261,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
262,Nabire,ID,81.28,broken clouds,-3.3667,135.4833,Hotel Nusantara I
263,Civitanova Marche,IT,71.01,broken clouds,43.307,13.7206,Cosmopolitan Business Hotel
265,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
268,Awjilah,LY,80.02,clear sky,29.1081,21.2869,المنزل
269,Lar,IN,87.69,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
274,Bay City,US,71.92,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
276,Gizo,SB,83.73,overcast clouds,-8.103,156.8419,Imagination Island
277,Robstown,US,92.01,thunderstorm,27.7903,-97.6689,Days Inn by Wyndham Robstown
279,Sao Filipe,CV,76.33,broken clouds,14.8961,-24.4956,Hotel Xaguate
280,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
283,Bam,IR,75.61,clear sky,29.106,58.357,Bam Tourist Hotel
285,Lorengau,PG,84.2,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Jacareacanga,BR,73.44,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
287,Acapulco,MX,82.47,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
288,Grand Forks,US,71.53,clear sky,47.9417,-97.4337,Warrior Inn
289,Lubao,PH,83.91,few clouds,14.9167,120.55,Hacienda Gracia
290,Porto Walter,BR,73.02,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
291,Touros,BR,76.71,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
292,Fairbanks,US,78.24,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
293,Sibu,MY,73.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
294,Butaritari,KI,80.58,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
295,Hermiston,US,77.47,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
296,Morondava,MG,70.34,clear sky,-20.2833,44.2833,La Case Bambou
299,Bonfim,BR,77.74,broken clouds,3.0833,-59.95,
301,Upata,VE,72.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
303,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
308,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
313,Ewa Beach,US,83.08,clear sky,21.3156,-158.0072,Base Lodging
314,Vao,NC,71.26,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
315,Rayong,TH,84.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
318,Kihei,US,81.97,few clouds,20.785,-156.4656,Maui Sunset
321,Inirida,CO,71.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
322,Myitkyina,MM,74.07,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
325,Kampong Thum,KH,77.32,overcast clouds,12.7111,104.8887,Sambor Village Hotel
326,Djougou,BJ,73.44,light rain,9.7085,1.666,Hôtel Gladenzo
329,Manga,BF,89.96,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
333,Umm Lajj,SA,83.53,clear sky,25.0213,37.2685,Moon light Furnished Units
339,Ranau,MY,74.55,broken clouds,5.9538,116.6641,The Second Room
340,Campeche,MX,78.89,scattered clouds,19.0,-90.5,
345,Alugan,PH,84.96,overcast clouds,12.2188,125.4808,JM Lodge
347,Buerarema,BR,77.59,overcast clouds,-14.9594,-39.2997,POUSADA JEQUITIBÁ BUERAREMA
348,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
349,Lakatoro,VU,82.31,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
351,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
352,Roura,GF,80.96,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
354,Atar,MR,89.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
355,Anloga,GH,81.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
356,Ramos Arizpe,MX,75.96,broken clouds,25.55,-100.9667,Mario's Inn
358,Godfrey,US,81.72,clear sky,38.9556,-90.1868,Super 8 by Wyndham Alton
361,Cabcaben,PH,88.12,scattered clouds,14.454,120.5914,villa carmen beach resort
362,Adrar,MR,86.0,overcast clouds,20.5022,-10.0711,
363,Itoman,JP,77.4,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
366,Itarema,BR,77.29,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
373,Mayo,US,77.2,clear sky,38.8876,-76.5119,Resorts Resource Group International
375,Cansancao,BR,69.01,overcast clouds,-10.6672,-39.4992,MIGUEL
376,Solano,US,78.53,overcast clouds,38.2333,-121.9511,Westwind Inn
377,Virginia Beach,US,78.03,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
378,Chiang Rai,TH,79.57,clear sky,19.9167,99.9167,Imsuk Homestay at Chiang Rai
380,Kushima,JP,76.3,few clouds,31.4583,131.2333,Hanaoka
388,Yaan,NG,76.21,broken clouds,7.3833,8.5667,
390,Minna,NG,73.35,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
391,Kloulklubed,PW,81.1,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
392,Arlit,NE,86.88,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
394,Saint George,US,94.62,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
395,Wajir,KE,73.62,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
396,Pereira Barreto,BR,69.1,scattered clouds,-20.6383,-51.1092,Hotel Pousada Pantal
399,Zabid,YE,82.92,broken clouds,14.1951,43.3152,مغرب التريبه
401,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
403,Westport,US,73.27,overcast clouds,41.1415,-73.3579,The Westport Inn
404,Homer,US,73.04,clear sky,59.6425,-151.5483,Beluga Lake Lodge
405,Hobyo,SO,77.52,few clouds,5.3505,48.5268,Iftin hotel hobyo
407,Biu,NG,80.64,overcast clouds,10.6129,12.1946,Emir's Palace
408,Ken Caryl,US,71.58,light rain,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
409,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
410,Sola,VU,80.8,few clouds,-13.8833,167.55,Leumerus Bungalows
411,Tecoanapa,MX,82.8,broken clouds,16.5167,-98.75,Hotel Manglares
412,Anamur,TR,71.85,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
413,Kupang,ID,79.11,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
414,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
415,Zwedru,LR,72.32,overcast clouds,6.0667,-8.1281,Elijah Worjloh
422,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
424,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
426,Chandbali,IN,83.53,overcast clouds,20.7833,86.7667,Sabitri Bhavan
429,Phuket,TH,87.13,few clouds,8.0,98.25,The Surin
432,La Mira,MX,81.79,few clouds,18.035,-102.3266,Cabaña San Francisco
435,Chor,PK,81.54,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
438,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
439,Korla,CN,69.24,broken clouds,41.7597,86.1469,Gulisitan Hotel
440,Tadine,NC,73.72,clear sky,-21.55,167.8833,
441,Nizwa,OM,80.17,clear sky,22.9333,57.5333,Orient Apartments
442,Pacific Grove,US,75.24,overcast clouds,36.6177,-121.9166,Lovers Point Inn
446,Las Varas,MX,78.87,clear sky,21.1667,-105.1667,Casa Palapas
447,Miracema Do Tocantins,BR,76.57,few clouds,-9.5618,-48.3967,Miami Apart Hotel
448,Haines Junction,CA,71.55,broken clouds,60.7522,-137.5108,Parkside Inn
450,Dongying,CN,79.38,overcast clouds,37.4564,118.4856,Wanda Realm
451,Abu Samrah,SY,69.67,clear sky,35.3029,37.1841,
452,Guane,CU,78.08,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
